Run,Method,Time (seconds)
2,FULL | X | SPLINE,0.007175922
2,FULL | X | SPLINE,0.007294893
2,FULL | X | SPLINE,0.007117033
2,FULL | X | SPLINE,0.007650614
2,FULL | X | SPLINE,0.007374048
2,FULL | X | SPLINE,0.007470131
2,FULL | X | SPLINE,0.007729292
2,FULL | X | SPLINE,0.007309914
2,FULL | X | SPLINE,0.007046223
2,FULL | X | SPLINE,0.007355928
2,FULL | X | SPLINE,0.007071972
2,MID | X | PDE,0.007994175
2,MID | X | PDE,0.007721901
2,MID | X | PDE,0.007875919
2,MID | X | PDE,0.007575989
2,MID | X | PDE,0.008065939
2,MID | X | PDE,0.007851839
2,MID | X | PDE,0.007364988
2,MID | X | PDE,0.007550955
2,MID | X | PDE,0.007705927
2,MID | X | PDE,0.00742507
2,MID | X | PDE,0.007938862
2,MID | X | PDE,0.007742882
2,MID | X | PDE,0.007779121
2,MID | X | PDE,0.007591009
2,MID | X | PDE,0.007766962
2,MID | X | PDE,0.007538795
2,MID | X | PDE,0.007848978
2,MID | X | PDE,0.007217884
2,MID | X | PDE,0.007879972
2,MID | X | PDE,0.007487059
2,MID | X | PDE,0.007983208
2,MID | X | PDE,0.007414103
2,MID | X | PDE,0.008002758
2,MID | X | PDE,0.007466078
2,MID | X | PDE,0.007550001
2,MID | X | PDE,0.007503033
2,MID | X | PDE,0.007456064
2,MID | X | PDE,0.007776022
2,MID | X | PDE,0.007620811
2,MID | X | PDE,0.007516146
2,FULL | X | PDE,0.007540941
2,FULL | X | PDE,0.007520914
2,FULL | X | PDE,0.007793188
2,FULL | X | PDE,0.007241964
2,FULL | X | PDE,0.007859945
2,FULL | X | PDE,0.007275105
2,FULL | X | PDE,0.007674932
2,FULL | X | PDE,0.007506847
2,FULL | X | PDE,0.007766008
2,FULL | X | PDE,0.007332087
2,FULL | X | PDE,0.007795334
2,FULL | X | PDE,0.007474899
2,FULL | X | PDE,0.007736683
2,FULL | X | PDE,0.007295132
2,FULL | X | PDE,0.00751996
2,FULL | X | PDE,0.007344961
2,FULL | X | PDE,0.007589102
2,FULL | X | PDE,0.007513762
2,FULL | X | PDE,0.007749081
2,FULL | X | PDE,0.007634878
2,FULL | X | PDE,0.007586002
2,FULL | X | PDE,0.00739789
2,FULL | X | PDE,0.007469177
2,FULL | X | PDE,0.007427692
2,FULL | X | PDE,0.007572174
2,FULL | X | PDE,0.007582903
2,FULL | X | PDE,0.007569313
2,FULL | X | PDE,0.007510662
2,FULL | X | PDE,0.007850885
2,FULL | X | PDE,0.007691145
3,MID | X | SPLINE,0.00773716
3,MID | X | SPLINE,0.007332802
3,MID | X | SPLINE,0.00753808
3,MID | X | SPLINE,0.007517099
3,MID | X | SPLINE,0.007764816
3,MID | X | SPLINE,0.00707984
3,MID | X | SPLINE,0.007768154
3,MID | X | SPLINE,0.007343054
3,MID | X | SPLINE,0.007574081
3,MID | X | SPLINE,0.007458925
3,MID | X | SPLINE,0.007543087
3,MID | X | SPLINE,0.007410049
3,MID | X | SPLINE,0.007290125
3,MID | X | SPLINE,0.007684946
3,MID | X | SPLINE,0.007315874
3,MID | X | SPLINE,0.007524967
3,MID | X | SPLINE,0.007536888
3,MID | X | SPLINE,0.00720787
3,MID | X | SPLINE,0.007722855
3,MID | X | SPLINE,0.007357121
3,MID | X | SPLINE,0.007775068
3,MID | X | SPLINE,0.007127047
3,MID | X | SPLINE,0.007670879
3,MID | X | SPLINE,0.007374048
3,MID | X | SPLINE,0.007378817
3,MID | X | SPLINE,0.00751996
3,MID | X | SPLINE,0.007253885
3,MID | X | SPLINE,0.007862806
3,MID | X | SPLINE,0.007689238
3,MID | X | SPLINE,0.007487297
3,FULL | X | SPLINE,0.007436037
3,FULL | X | SPLINE,0.007214069
3,FULL | X | SPLINE,0.007390976
3,FULL | X | SPLINE,0.007129192
3,FULL | X | SPLINE,0.007928848
3,FULL | X | SPLINE,0.007055998
3,FULL | X | SPLINE,0.007591963
3,FULL | X | SPLINE,0.007210016
3,FULL | X | SPLINE,0.007699013
3,FULL | X | SPLINE,0.0070889
3,FULL | X | SPLINE,0.007643223
3,FULL | X | SPLINE,0.00750494
3,FULL | X | SPLINE,0.007416248
3,FULL | X | SPLINE,0.007725716
3,FULL | X | SPLINE,0.007514
3,FULL | X | SPLINE,0.007282972
3,FULL | X | SPLINE,0.007467985
3,FULL | X | SPLINE,0.007513762
3,FULL | X | SPLINE,0.007544994
3,FULL | X | SPLINE,0.007514954
3,FULL | X | SPLINE,0.007712126
3,FULL | X | SPLINE,0.007324934
3,FULL | X | SPLINE,0.007733822
3,FULL | X | SPLINE,0.007179976
3,FULL | X | SPLINE,0.007713079
3,FULL | X | SPLINE,0.007284164
3,FULL | X | SPLINE,0.007234812
3,FULL | X | SPLINE,0.007267952
3,FULL | X | SPLINE,0.007616997
3,FULL | X | SPLINE,0.007525921
3,MID | X | PDE,0.007899046
3,MID | X | PDE,0.007633209
3,MID | X | PDE,0.007657766
3,MID | X | PDE,0.007213831
3,MID | X | PDE,0.007887125
3,MID | X | PDE,0.007378101
3,MID | X | PDE,0.007755041
3,MID | X | PDE,0.007776022
3,MID | X | PDE,0.007871866
3,MID | X | PDE,0.007705927
3,MID | X | PDE,0.008033991
3,MID | X | PDE,0.007935047
3,MID | X | PDE,0.007665873
3,MID | X | PDE,0.007641077
3,MID | X | PDE,0.00752306
3,MID | X | PDE,0.007718801
3,MID | X | PDE,0.007627964
3,MID | X | PDE,0.00767684
3,MID | X | PDE,0.007746696
3,MID | X | PDE,0.007775784
3,MID | X | PDE,0.007707119
3,MID | X | PDE,0.007483959
3,MID | X | PDE,0.00798893
3,MID | X | PDE,0.007386923
3,MID | X | PDE,0.007997274
3,MID | X | PDE,0.007369041
3,MID | X | PDE,0.007870913
3,MID | X | PDE,0.007253885
3,MID | X | PDE,0.007992029
3,MID | X | PDE,0.007292271
3,FULL | X | PDE,0.00763011
3,FULL | X | PDE,0.007297993
3,FULL | X | PDE,0.00759697
3,FULL | X | PDE,0.007827282
3,FULL | X | PDE,0.007640123
3,FULL | X | PDE,0.007754087
3,FULL | X | PDE,0.007418871
3,FULL | X | PDE,0.007678986
3,FULL | X | PDE,0.007524967
3,FULL | X | PDE,0.007302046
3,FULL | X | PDE,0.008088112
3,FULL | X | PDE,0.007259846
3,FULL | X | PDE,0.007851124
3,FULL | X | PDE,0.007389069
3,FULL | X | PDE,0.007949114
3,FULL | X | PDE,0.007421017
3,FULL | X | PDE,0.007684946
3,FULL | X | PDE,0.007326841
3,FULL | X | PDE,0.007624865
3,FULL | X | PDE,0.008004904
3,FULL | X | PDE,0.007761955
3,FULL | X | PDE,0.007623196
3,FULL | X | PDE,0.00762105
3,FULL | X | PDE,0.007727146
3,FULL | X | PDE,0.007649183
3,FULL | X | PDE,0.00748682
3,FULL | X | PDE,0.007401228
3,FULL | X | PDE,0.007482052
3,FULL | X | PDE,0.007943869
3,FULL | X | PDE,0.00749898
4,MID | X | SPLINE,0.007698774
4,MID | X | SPLINE,0.007487774
4,MID | X | SPLINE,0.007540941
4,MID | X | SPLINE,0.007202148
4,MID | X | SPLINE,0.007625103
4,MID | X | SPLINE,0.007478714
4,MID | X | SPLINE,0.007439137
4,MID | X | SPLINE,0.007565022
4,MID | X | SPLINE,0.007735968
4,MID | X | SPLINE,0.007186174
4,MID | X | SPLINE,0.007851124
4,MID | X | SPLINE,0.007292271
4,MID | X | SPLINE,0.007620811
4,MID | X | SPLINE,0.007124186
4,MID | X | SPLINE,0.00773406
4,MID | X | SPLINE,0.007238865
4,MID | X | SPLINE,0.00814724
4,MID | X | SPLINE,0.007819176
4,MID | X | SPLINE,0.008122206
4,MID | X | SPLINE,0.007520914
4,MID | X | SPLINE,0.007376909
4,MID | X | SPLINE,0.00746274
4,MID | X | SPLINE,0.007503033
4,MID | X | SPLINE,0.007516861
4,MID | X | SPLINE,0.007275105
4,MID | X | SPLINE,0.007254124
4,MID | X | SPLINE,0.007509947
4,MID | X | SPLINE,0.007146835
4,MID | X | SPLINE,0.007958174
4,MID | X | SPLINE,0.007215977
4,FULL | X | SPLINE,0.007739782
4,FULL | X | SPLINE,0.007083178
4,FULL | X | SPLINE,0.007272005
4,FULL | X | SPLINE,0.007277012
4,FULL | X | SPLINE,0.007385254
4,FULL | X | SPLINE,0.007579803
4,FULL | X | SPLINE,0.007638931
4,FULL | X | SPLINE,0.007385015
4,FULL | X | SPLINE,0.007813215
4,FULL | X | SPLINE,0.00728488
4,FULL | X | SPLINE,0.007755756
4,FULL | X | SPLINE,0.007245064
4,FULL | X | SPLINE,0.007496834
4,FULL | X | SPLINE,0.007369041
4,FULL | X | SPLINE,0.007521152
4,FULL | X | SPLINE,0.007169962
4,FULL | X | SPLINE,0.007385015
4,FULL | X | SPLINE,0.007117033
4,FULL | X | SPLINE,0.007596016
4,FULL | X | SPLINE,0.007334948
4,FULL | X | SPLINE,0.007461786
4,FULL | X | SPLINE,0.00711894
4,FULL | X | SPLINE,0.007448912
4,FULL | X | SPLINE,0.007049322
4,FULL | X | SPLINE,0.007343769
4,FULL | X | SPLINE,0.007255077
4,FULL | X | SPLINE,0.007333994
4,FULL | X | SPLINE,0.00703311
4,FULL | X | SPLINE,0.007362127
4,FULL | X | SPLINE,0.007040977
4,MID | X | PDE,0.007674217
4,MID | X | PDE,0.007757187
4,MID | X | PDE,0.007612944
4,MID | X | PDE,0.007675886
4,MID | X | PDE,0.007989168
4,MID | X | PDE,0.007721901
4,MID | X | PDE,0.007911921
4,MID | X | PDE,0.007719994
4,MID | X | PDE,0.007880211
4,MID | X | PDE,0.007524967
4,MID | X | PDE,0.008111715
4,MID | X | PDE,0.00763607
4,MID | X | PDE,0.008121967
4,MID | X | PDE,0.007731915
4,MID | X | PDE,0.008049965
4,MID | X | PDE,0.007536173
4,MID | X | PDE,0.008072853
4,MID | X | PDE,0.007719755
4,MID | X | PDE,0.007802725
4,MID | X | PDE,0.007781267
4,MID | X | PDE,0.007797003
4,MID | X | PDE,0.007883072
4,MID | X | PDE,0.007843971
4,MID | X | PDE,0.007880926
4,MID | X | PDE,0.007973194
4,MID | X | PDE,0.007704973
4,MID | X | PDE,0.007764816
4,MID | X | PDE,0.007555008
4,MID | X | PDE,0.008152008
4,MID | X | PDE,0.007555723
4,FULL | X | PDE,0.008043051
4,FULL | X | PDE,0.007609129
4,FULL | X | PDE,0.007705212
4,FULL | X | PDE,0.007316828
4,FULL | X | PDE,0.007739782
4,FULL | X | PDE,0.007220984
4,FULL | X | PDE,0.007612944
4,FULL | X | PDE,0.00756526
4,FULL | X | PDE,0.007626057
4,FULL | X | PDE,0.00779891
4,FULL | X | PDE,0.007675886
4,FULL | X | PDE,0.00759697
4,FULL | X | PDE,0.007469654
4,FULL | X | PDE,0.007659912
4,FULL | X | PDE,0.007540941
4,FULL | X | PDE,0.007529974
4,FULL | X | PDE,0.007813215
4,FULL | X | PDE,0.007362127
4,FULL | X | PDE,0.007786989
4,FULL | X | PDE,0.00756216
4,FULL | X | PDE,0.007855177
4,FULL | X | PDE,0.007433891
4,FULL | X | PDE,0.007578135
4,FULL | X | PDE,0.007229805
4,FULL | X | PDE,0.007608891
4,FULL | X | PDE,0.007604837
4,FULL | X | PDE,0.007726669
4,FULL | X | PDE,0.007677794
4,FULL | X | PDE,0.007929087
4,FULL | X | PDE,0.007585764
5,MID | X | SPLINE,0.007920265
5,MID | X | SPLINE,0.007384062
5,MID | X | SPLINE,0.007653236
5,MID | X | SPLINE,0.007241011
5,MID | X | SPLINE,0.007891893
5,MID | X | SPLINE,0.007729769
5,MID | X | SPLINE,0.007823229
5,MID | X | SPLINE,0.007630825
5,MID | X | SPLINE,0.010481119
5,MID | X | SPLINE,0.011156082
5,MID | X | SPLINE,0.011513948
5,MID | X | SPLINE,0.009977818
5,MID | X | SPLINE,0.010041237
5,MID | X | SPLINE,0.010152102
5,MID | X | SPLINE,0.009536028
5,MID | X | SPLINE,0.009834051
5,MID | X | SPLINE,0.009346008
